STATE CLIMATE OFFICE OF NORTH CAROLINA,
1/8/2010 10:09,31.8
1/8/2010 10:10,31.7
1/8/2010 10:11,31.7
1/8/2010 10:12,31.9
1/8/2010 10:13,31.9
1/8/2010 10:14,32
1/8/2010 10:15,31.9
1/8/2010 10:16,31.9
1/8/2010 10:17,31.8
1/8/2010 10:18,31.8
1/8/2010 10:19,31.5
1/8/2010 10:20,31.8
1/8/2010 10:21,31.8
1/8/2010 10:22,32
1/8/2010 10:23,32
1/8/2010 10:24,32.1
1/8/2010 10:25,32.1
1/8/2010 10:26,31.9
1/8/2010 10:27,31.8
1/8/2010 10:28,31.8
1/8/2010 10:29,31.5
1/8/2010 10:30,31.9
1/8/2010 10:31,32
1/8/2010 10:32,31.9
1/8/2010 10:33,31.7
1/8/2010 10:34,31.3
1/8/2010 10:35,31.4
1/8/2010 10:36,31.7
1/8/2010 10:37,31.7
1/8/2010 10:38,31.7
1/8/2010 10:39,31.4
1/8/2010 10:40,31.7
1/8/2010 10:41,31.7
1/8/2010 10:42,31.4
1/8/2010 10:43,31.4
1/8/2010 10:44,31.4
1/8/2010 10:45,31.5
1/8/2010 10:46,31.7
1/8/2010 10:47,31.5
1/8/2010 10:48,31.3
1/8/2010 10:49,31.5
1/8/2010 10:50,31.3
1/8/2010 10:51,31.4
1/8/2010 10:52,31.3
1/8/2010 10:53,31.2
1/8/2010 10:54,31.5
1/8/2010 10:55,31.7
1/8/2010 10:56,31.5
1/8/2010 10:57,31.8
1/8/2010 10:58,31.7
1/8/2010 10:59,31.9
1/8/2010 11:00,32.3
1/8/2010 11:00,32.3
1/8/2010 11:01,31.9
1/8/2010 11:02,31.9
1/8/2010 11:03,32
1/8/2010 11:04,32
1/8/2010 11:05,31.9
1/8/2010 11:06,31.5
1/8/2010 11:07,31.4
1/8/2010 11:08,31.5
1/8/2010 11:09,31.2
1/8/2010 11:10,31.4
1/8/2010 11:11,31.5
1/8/2010 11:12,31.8
1/8/2010 11:13,31.8
1/8/2010 11:14,31.9
1/8/2010 11:15,31.8
1/8/2010 11:16,31.9
1/8/2010 11:17,31.9
1/8/2010 11:18,31.8
1/8/2010 11:19,31.7
1/8/2010 11:20,31.4
1/8/2010 11:21,31.1
1/8/2010 11:22,31.1
1/8/2010 11:23,31.1
1/8/2010 11:24,30.8
1/8/2010 11:25,31.1
1/8/2010 11:26,31.5
1/8/2010 11:27,31.7
1/8/2010 11:28,31.4
1/8/2010 11:29,31.3
1/8/2010 11:30,31.4
1/8/2010 11:31,31.3
1/8/2010 11:32,31.1
1/8/2010 11:33,31.2
1/8/2010 11:34,31.3
1/8/2010 11:35,31.1
1/8/2010 11:36,31.2
1/8/2010 11:37,31.1
1/8/2010 11:38,30.9
1/8/2010 11:39,30.6
1/8/2010 11:40,30.6
1/8/2010 11:41,30.6
1/8/2010 11:42,30.6
1/8/2010 11:43,30.7
1/8/2010 11:44,30.5
1/8/2010 11:45,30.5
1/8/2010 11:46,30.6
1/8/2010 11:47,30.8
1/8/2010 11:48,30.8
1/8/2010 11:49,30.7
1/8/2010 11:50,30.8
1/8/2010 11:51,31.2
1/8/2010 11:52,31.1
1/8/2010 11:53,31.4
1/8/2010 11:54,31.2
1/8/2010 11:55,31.3
1/8/2010 11:56,31.4
1/8/2010 11:57,31.3
1/8/2010 11:58,31.2
1/8/2010 11:59,31.1
1/8/2010 12:00,30.9
1/8/2010 12:00,30.9
1/8/2010 12:01,31.2
1/8/2010 12:02,31.2
1/8/2010 12:03,30.9
1/8/2010 12:04,31.1
1/8/2010 12:05,31.1
1/8/2010 12:06,30.8
1/8/2010 12:07,30.7
1/8/2010 12:08,30.8
1/8/2010 12:09,31.1
1/8/2010 12:10,30.9
1/8/2010 12:11,30.9
1/8/2010 12:12,30.9
1/8/2010 12:13,30.8
1/8/2010 12:14,30.7
1/8/2010 12:15,30.8
1/8/2010 12:16,31.1
1/8/2010 12:17,31.2
1/8/2010 12:18,31.4
1/8/2010 12:19,31.3
1/8/2010 12:20,31.5
1/8/2010 12:21,31.4
1/8/2010 12:22,31.7
1/8/2010 12:23,31.2
1/8/2010 12:24,31.1
1/8/2010 12:25,30.7
1/8/2010 12:26,30.8
1/8/2010 12:27,30.5
1/8/2010 12:28,30.3
1/8/2010 12:29,30.6
1/8/2010 12:30,30.6
1/8/2010 12:31,30.6
1/8/2010 12:32,30.6
1/8/2010 12:33,30.5
1/8/2010 12:34,30.5
1/8/2010 12:35,30.6
1/8/2010 12:36,30.7
1/8/2010 12:37,31.1
1/8/2010 12:38,30.9
1/8/2010 12:39,30.8
1/8/2010 12:40,30.7
1/8/2010 12:41,30.8
1/8/2010 12:42,30.6
1/8/2010 12:43,30.8
1/8/2010 12:44,30.7
1/8/2010 12:45,31.1
1/8/2010 12:46,31.2
1/8/2010 12:47,31.1
1/8/2010 12:48,31.1
1/8/2010 12:49,31.3
1/8/2010 12:50,31.5
1/8/2010 12:51,31.3
1/8/2010 12:52,31.5
1/8/2010 12:53,31.4
1/8/2010 12:54,31.5
1/8/2010 12:55,31.3
1/8/2010 12:56,31.7
1/8/2010 12:57,31.5
1/8/2010 12:58,31.7
1/8/2010 12:59,31.4
1/8/2010 13:00,31.5
1/8/2010 13:00,31.5
1/8/2010 13:01,31.4
1/8/2010 13:02,31.1
1/8/2010 13:03,31.1
1/8/2010 13:04,31.3
1/8/2010 13:05,31.2
1/8/2010 13:06,31.5
1/8/2010 13:07,31.4
1/8/2010 13:08,31.5
1/8/2010 13:09,31.5
1/8/2010 13:10,31.3
1/8/2010 13:11,30.9
1/8/2010 13:12,31.3
1/8/2010 13:13,30.9
1/8/2010 13:14,31.2
1/8/2010 13:15,31.1
1/8/2010 13:16,31.4
1/8/2010 13:17,31.1
1/8/2010 13:18,30.8
1/8/2010 13:19,30.8
1/8/2010 13:20,30.8
1/8/2010 13:21,30.7
1/8/2010 13:22,30.5
1/8/2010 13:23,30.9
1/8/2010 13:24,31.1
1/8/2010 13:25,31.1
1/8/2010 13:26,30.9
1/8/2010 13:27,30.7
1/8/2010 13:28,30.7
1/8/2010 13:29,30.7
1/8/2010 13:30,30.7
1/8/2010 13:31,30.6
1/8/2010 13:32,30.9
1/8/2010 13:33,30.8
1/8/2010 13:34,31.4
1/8/2010 13:35,31.8
1/8/2010 13:36,31.3
1/8/2010 13:37,31.3
1/8/2010 13:38,31.8
1/8/2010 13:39,31.7
1/8/2010 13:40,31.5
1/8/2010 13:41,31.4
1/8/2010 13:42,31.1
1/8/2010 13:43,31.1
1/8/2010 13:44,31.2
1/8/2010 13:45,31.1
1/8/2010 13:46,30.6
1/8/2010 13:47,30.8
1/8/2010 13:48,30.6
1/8/2010 13:49,30.5
1/8/2010 13:50,30.8
1/8/2010 13:51,30.6
1/8/2010 13:52,30.9
1/8/2010 13:53,30.7
1/8/2010 13:54,30.7
1/8/2010 13:55,30.8
1/8/2010 13:56,30.5
1/8/2010 13:57,30.5
1/8/2010 13:58,30.5
1/8/2010 13:59,30.3
1/8/2010 14:00,30.1
1/8/2010 14:00,30.1
1/8/2010 14:01,30.3
1/8/2010 14:02,30.6
1/8/2010 14:03,30.3
1/8/2010 14:04,30.2
1/8/2010 14:05,30
1/8/2010 14:06,30.2
1/8/2010 14:07,29.9
1/8/2010 14:08,30
1/8/2010 14:09,30.3
1/8/2010 14:10,30
1/8/2010 14:11,30
1/8/2010 14:12,29.9
1/8/2010 14:13,29.7
1/8/2010 14:14,29.6
1/8/2010 14:15,29.6
1/8/2010 14:16,29.9
1/8/2010 14:17,29.6
1/8/2010 14:18,29.5
1/8/2010 14:19,29.5
1/8/2010 14:20,29.5
1/8/2010 14:21,29.6
1/8/2010 14:22,29.9
1/8/2010 14:23,30.1
1/8/2010 14:24,30.2
1/8/2010 14:25,29.9
1/8/2010 14:26,30
1/8/2010 14:27,30.1
1/8/2010 14:28,30.2
1/8/2010 14:29,30.1
1/8/2010 14:30,30
1/8/2010 14:31,30.1
1/8/2010 14:32,29.9
1/8/2010 14:33,29.6
1/8/2010 14:34,29.5
1/8/2010 14:35,29.7
1/8/2010 14:36,29.9
1/8/2010 14:37,30
1/8/2010 14:38,29.9
1/8/2010 14:39,30.1
1/8/2010 14:40,30.2
1/8/2010 14:41,30.6
1/8/2010 14:42,30.3
1/8/2010 14:43,30.1
1/8/2010 14:44,30.1
1/8/2010 14:45,30.1
1/8/2010 14:46,30
1/8/2010 14:47,30.1
1/8/2010 14:48,29.7
1/8/2010 14:49,29.9
1/8/2010 14:50,29.7
1/8/2010 14:51,29.9
1/8/2010 14:52,29.7
1/8/2010 14:53,29.7
1/8/2010 14:54,29.6
1/8/2010 14:55,29.6
1/8/2010 14:56,29.6
1/8/2010 14:57,29.6
1/8/2010 14:58,29.5
1/8/2010 14:59,29.7
1/8/2010 15:00,29.5
1/8/2010 15:00,29.5
1/8/2010 15:01,29.7
1/8/2010 15:02,30
1/8/2010 15:03,30
1/8/2010 15:04,30
1/8/2010 15:05,29.9
1/8/2010 15:06,29.9
1/8/2010 15:07,30.1
1/8/2010 15:08,29.9
1/8/2010 15:09,29.9
1/8/2010 15:10,29.9
1/8/2010 15:11,29.9
1/8/2010 15:12,29.7
1/8/2010 15:13,29.7
1/8/2010 15:14,30.2
1/8/2010 15:15,30.1
1/8/2010 15:16,30.3
1/8/2010 15:17,30.1
1/8/2010 15:18,30.2
1/8/2010 15:19,30.3
1/8/2010 15:20,30.6
1/8/2010 15:21,30.5
1/8/2010 15:22,30.6
1/8/2010 15:23,30.2
1/8/2010 15:24,30.2
1/8/2010 15:25,30.3
1/8/2010 15:26,30.1
1/8/2010 15:27,30
1/8/2010 15:28,30.1
1/8/2010 15:29,30.3
1/8/2010 15:30,30.5
1/8/2010 15:31,30.2
1/8/2010 15:32,30.1
1/8/2010 15:33,30.2
1/8/2010 15:34,30.1
1/8/2010 15:35,30.1
1/8/2010 15:36,30
1/8/2010 15:37,30
1/8/2010 15:38,30
1/8/2010 15:39,29.9
1/8/2010 15:40,30.1
1/8/2010 15:41,29.9
1/8/2010 15:42,30.1
1/8/2010 15:43,29.7
1/8/2010 15:44,29.9
1/8/2010 15:45,29.9
1/8/2010 15:46,30.3
1/8/2010 15:47,30
1/8/2010 15:48,30.2
1/8/2010 15:49,30.1
1/8/2010 15:50,29.9
1/8/2010 15:51,29.7
1/8/2010 15:52,29.7
1/8/2010 15:53,29.7
1/8/2010 15:54,29.7
1/8/2010 15:55,30.1
1/8/2010 15:56,29.9
1/8/2010 15:57,29.7
1/8/2010 15:58,29.9
1/8/2010 15:59,29.5
1/8/2010 16:00,29.4
1/8/2010 16:00,29.4
1/8/2010 16:01,29.6
1/8/2010 16:02,29.4
1/8/2010 16:03,29.4
1/8/2010 16:04,29.3
1/8/2010 16:05,29.4
1/8/2010 16:06,29.1
1/8/2010 16:07,29.5
1/8/2010 16:08,29.3
1/8/2010 16:09,29.4
1/8/2010 16:10,29.3
1/8/2010 16:11,29.3
1/8/2010 16:12,29
1/8/2010 16:13,29.3
1/8/2010 16:14,29.4
1/8/2010 16:15,29.1
1/8/2010 16:16,29.3
1/8/2010 16:17,29.3
1/8/2010 16:18,29.1
1/8/2010 16:19,29.1
1/8/2010 16:20,29.3
1/8/2010 16:21,29.1
1/8/2010 16:22,29.3
1/8/2010 16:23,29.3
1/8/2010 16:24,29.1
1/8/2010 16:25,29
1/8/2010 16:26,29.1
1/8/2010 16:27,29.4
1/8/2010 16:28,29.3
1/8/2010 16:29,29.1
1/8/2010 16:30,28.9
1/8/2010 16:31,28.9
1/8/2010 16:32,29.1
1/8/2010 16:33,29
1/8/2010 16:34,29
1/8/2010 16:35,29.1
1/8/2010 16:36,29
1/8/2010 16:37,29
1/8/2010 16:38,29
1/8/2010 16:39,28.8
1/8/2010 16:40,28.9
1/8/2010 16:41,28.9
1/8/2010 16:42,28.7
1/8/2010 16:43,28.4
1/8/2010 16:44,28.7
1/8/2010 16:45,28.5
1/8/2010 16:46,28.6
1/8/2010 16:47,28.6
1/8/2010 16:48,28.7
1/8/2010 16:49,28.4
1/8/2010 16:50,28.3
1/8/2010 16:51,28.3
1/8/2010 16:52,28.2
1/8/2010 16:53,28.4
1/8/2010 16:54,28.3
1/8/2010 16:55,28.3
1/8/2010 16:56,28.3
1/8/2010 16:57,28.3
1/8/2010 16:58,28.3
1/8/2010 16:59,28.2
1/8/2010 17:00,28.4
1/8/2010 17:00,28.4
1/8/2010 17:01,28.1
1/8/2010 17:02,28.3
1/8/2010 17:03,28.4
1/8/2010 17:04,28.2
1/8/2010 17:05,28.3
1/8/2010 17:06,28.1
1/8/2010 17:07,28.2
1/8/2010 17:08,28.1
1/8/2010 17:09,28.2
1/8/2010 17:10,28.1
1/8/2010 17:11,28.1
1/8/2010 17:12,28.1
1/8/2010 17:13,28
1/8/2010 17:14,28
1/8/2010 17:15,28
1/8/2010 17:16,27.8
1/8/2010 17:17,28
1/8/2010 17:18,27.8
1/8/2010 17:19,28
1/8/2010 17:20,28
1/8/2010 17:21,27.8
1/8/2010 17:22,28
1/8/2010 17:23,27.8
1/8/2010 17:24,27.7
1/8/2010 17:25,27.8
1/8/2010 17:26,28
1/8/2010 17:27,28
1/8/2010 17:28,27.8
1/8/2010 17:29,28
1/8/2010 17:30,27.6
1/8/2010 17:31,27.8
1/8/2010 17:32,27.6
1/8/2010 17:33,27.6
1/8/2010 17:34,27.6
1/8/2010 17:35,27.7
1/8/2010 17:36,27.7
1/8/2010 17:37,27.6
1/8/2010 17:38,27.6
1/8/2010 17:39,27.6
1/8/2010 17:40,27.5
1/8/2010 17:41,27.8
1/8/2010 17:42,27.7
1/8/2010 17:43,27.7
1/8/2010 17:44,27.5
1/8/2010 17:45,27.5
1/8/2010 17:46,27.5
1/8/2010 17:47,27.4
1/8/2010 17:48,27.6
1/8/2010 17:49,27.4
1/8/2010 17:50,27.6
1/8/2010 17:51,27.5
1/8/2010 17:52,27.5
1/8/2010 17:53,27.4
1/8/2010 17:54,27.4
1/8/2010 17:55,27.5
1/8/2010 17:56,27.5
1/8/2010 17:57,27.4
1/8/2010 17:58,27.4
1/8/2010 17:59,27.5
1/8/2010 18:00,27.2
1/8/2010 18:00,27.2
1/8/2010 18:01,27.2
1/8/2010 18:02,27.4
1/8/2010 18:03,27.4
1/8/2010 18:04,27.4
1/8/2010 18:05,27.5
1/8/2010 18:06,27.4
1/8/2010 18:07,27.2
1/8/2010 18:08,27.5
1/8/2010 18:09,27.4
1/8/2010 18:10,27.2
1/8/2010 18:11,27.4
1/8/2010 18:12,27
1/8/2010 18:13,27.1
1/8/2010 18:14,27.1
1/8/2010 18:15,27.1
1/8/2010 18:16,27.2
1/8/2010 18:17,27.2
1/8/2010 18:18,27
1/8/2010 18:19,27.1
1/8/2010 18:20,27.2
1/8/2010 18:21,27.1
1/8/2010 18:22,27.2
1/8/2010 18:23,27.1
1/8/2010 18:24,27.1
1/8/2010 18:25,27.2
1/8/2010 18:26,27.4
1/8/2010 18:27,27.4
1/8/2010 18:28,27.2
1/8/2010 18:29,27.1
1/8/2010 18:30,27.1
1/8/2010 18:31,27
1/8/2010 18:32,26.9
1/8/2010 18:33,27.1
1/8/2010 18:34,27
1/8/2010 18:35,26.8
1/8/2010 18:36,26.8
1/8/2010 18:37,27
1/8/2010 18:38,26.9
1/8/2010 18:39,26.9
1/8/2010 18:40,26.9
1/8/2010 18:41,27.1
1/8/2010 18:42,27.1
1/8/2010 18:43,26.9
1/8/2010 18:44,27.1
1/8/2010 18:45,27
1/8/2010 18:46,26.9
1/8/2010 18:47,26.8
1/8/2010 18:48,26.8
1/8/2010 18:49,26.9
1/8/2010 18:50,26.6
1/8/2010 18:51,26.8
1/8/2010 18:52,26.6
1/8/2010 18:53,26.8
1/8/2010 18:54,26.6
1/8/2010 18:55,26.9
1/8/2010 18:56,26.8
1/8/2010 18:57,26.6
1/8/2010 18:58,26.8
1/8/2010 18:59,26.8
1/8/2010 19:00,26.6
1/8/2010 19:00,26.6
1/8/2010 19:01,26.6
1/8/2010 19:02,26.6
1/8/2010 19:03,26.8
1/8/2010 19:04,26.8
1/8/2010 19:05,26.5
1/8/2010 19:06,26.6
1/8/2010 19:07,26.6
1/8/2010 19:08,26.8
1/8/2010 19:09,26.8
1/8/2010 19:10,26.4
1/8/2010 19:11,26.4
1/8/2010 19:12,26.5
1/8/2010 19:13,26.5
1/8/2010 19:14,26.4
1/8/2010 19:15,26.5
1/8/2010 19:16,26.3
1/8/2010 19:17,26.4
1/8/2010 19:18,26.5
1/8/2010 19:19,26.4
1/8/2010 19:20,26.4
1/8/2010 19:21,26.4
1/8/2010 19:22,26.3
1/8/2010 19:23,26.4
1/8/2010 19:24,26.3
1/8/2010 19:25,26.4
1/8/2010 19:26,26.3
1/8/2010 19:27,26.4
1/8/2010 19:28,26.3
1/8/2010 19:29,26.3
1/8/2010 19:30,26.2
1/8/2010 19:31,26.3
1/8/2010 19:32,26.3
1/8/2010 19:33,25.9
1/8/2010 19:34,26.2
1/8/2010 19:35,26.1
1/8/2010 19:36,26.1
1/8/2010 19:37,25.9
1/8/2010 19:38,26.1
1/8/2010 19:39,26.1
1/8/2010 19:40,26.2
1/8/2010 19:41,26.2
1/8/2010 19:42,25.9
1/8/2010 19:43,25.9
1/8/2010 19:44,25.9
1/8/2010 19:45,25.9
1/8/2010 19:46,26
1/8/2010 19:47,26.2
1/8/2010 19:48,25.9
1/8/2010 19:49,25.9
1/8/2010 19:50,25.9
1/8/2010 19:51,25.9
1/8/2010 19:52,25.9
1/8/2010 19:53,25.8
1/8/2010 19:54,25.9
1/8/2010 19:55,25.6
1/8/2010 19:56,26.1
1/8/2010 19:57,25.7
1/8/2010 19:58,25.6
1/8/2010 19:59,25.7
1/8/2010 20:00,25.7
1/8/2010 20:00,25.7
1/8/2010 20:01,25.6
1/8/2010 20:02,25.8
1/8/2010 20:03,25.6
1/8/2010 20:04,25.6
1/8/2010 20:05,25.6
1/8/2010 20:06,25.7
1/8/2010 20:07,25.6
1/8/2010 20:08,25.7
1/8/2010 20:09,25.8
1/8/2010 20:10,25.5
1/8/2010 20:11,25.6
1/8/2010 20:12,25.6
1/8/2010 20:13,25.6
1/8/2010 20:14,25.7
1/8/2010 20:15,25.5
1/8/2010 20:16,25.5
1/8/2010 20:17,25.5
1/8/2010 20:18,25.5
1/8/2010 20:19,25.5
1/8/2010 20:20,25.5
1/8/2010 20:21,25.3
1/8/2010 20:22,25.5
1/8/2010 20:23,25.3
1/8/2010 20:24,25.3
1/8/2010 20:25,25.2
1/8/2010 20:26,25.4
1/8/2010 20:27,25.4
1/8/2010 20:28,25.3
1/8/2010 20:29,25.3
1/8/2010 20:30,25.3
1/8/2010 20:31,25.2
1/8/2010 20:32,25.5
1/8/2010 20:33,24.9
1/8/2010 20:34,25.3
1/8/2010 20:35,25.1
1/8/2010 20:36,25
1/8/2010 20:37,25.1
1/8/2010 20:38,25.2
1/8/2010 20:39,25.1
1/8/2010 20:40,25
1/8/2010 20:41,25.5
1/8/2010 20:42,25.1
1/8/2010 20:43,25.1
1/8/2010 20:44,24.9
1/8/2010 20:45,24.7
1/8/2010 20:46,25
1/8/2010 20:47,25
1/8/2010 20:48,25.1
1/8/2010 20:49,25
1/8/2010 20:50,25
1/8/2010 20:51,25
1/8/2010 20:52,25
1/8/2010 20:53,24.7
1/8/2010 20:54,24.9
1/8/2010 20:55,24.9
1/8/2010 20:56,24.9
1/8/2010 20:57,24.9
1/8/2010 20:58,24.9
1/8/2010 20:59,24.7
1/8/2010 21:00,25
1/8/2010 21:00,25
1/8/2010 21:01,24.6
1/8/2010 21:02,24.6
1/8/2010 21:03,24.6
1/8/2010 21:04,24.7
1/8/2010 21:05,24.7
1/8/2010 21:06,24.9
1/8/2010 21:07,24.7
1/8/2010 21:08,24.6
1/8/2010 21:09,24.6
1/8/2010 21:10,24.7
1/8/2010 21:11,24.7
1/8/2010 21:12,24.9
1/8/2010 21:13,24.6
1/8/2010 21:14,24.6
1/8/2010 21:15,24.7
1/8/2010 21:16,24.5
1/8/2010 21:17,24.5
1/8/2010 21:18,24.6
1/8/2010 21:19,24.5
1/8/2010 21:20,24.5
1/8/2010 21:21,24.6
1/8/2010 21:22,24.4
1/8/2010 21:23,24.5
1/8/2010 21:24,24.5
1/8/2010 21:25,24.4
1/8/2010 21:26,24.5
1/8/2010 21:27,24.4
1/8/2010 21:28,24.4
1/8/2010 21:29,24
1/8/2010 21:30,24.1
1/8/2010 21:31,24.3
1/8/2010 21:32,24.3
1/8/2010 21:33,24.4
1/8/2010 21:34,24
1/8/2010 21:35,24.4
1/8/2010 21:36,24.3
1/8/2010 21:37,24.3
1/8/2010 21:38,24.3
1/8/2010 21:39,24.3
1/8/2010 21:40,24.1
1/8/2010 21:41,24.3
1/8/2010 21:42,24.1
1/8/2010 21:43,24
1/8/2010 21:44,24.3
1/8/2010 21:45,24.1
1/8/2010 21:46,24.4
1/8/2010 21:47,24.1
1/8/2010 21:48,24.1
1/8/2010 21:49,24
1/8/2010 21:50,23.9
1/8/2010 21:51,24
1/8/2010 21:52,24
1/8/2010 21:53,24
1/8/2010 21:54,24
1/8/2010 21:55,24.1
1/8/2010 21:56,24
1/8/2010 21:57,24.1
1/8/2010 21:58,24
1/8/2010 21:59,24
1/8/2010 22:00,24.1
1/8/2010 22:00,24.1
1/8/2010 22:01,24
1/8/2010 22:02,23.9
1/8/2010 22:03,24
1/8/2010 22:04,24.1
1/8/2010 22:05,23.9
1/8/2010 22:06,23.9
1/8/2010 22:07,24
1/8/2010 22:08,23.9
1/8/2010 22:09,24.1
1/8/2010 22:10,24.1
1/8/2010 22:11,24
1/8/2010 22:12,23.9
1/8/2010 22:13,24
1/8/2010 22:14,23.9
1/8/2010 22:15,24
1/8/2010 22:16,24
1/8/2010 22:17,24.1
1/8/2010 22:18,23.9
1/8/2010 22:19,23.9
1/8/2010 22:20,23.9
1/8/2010 22:21,24
1/8/2010 22:22,23.9
1/8/2010 22:23,23.8
1/8/2010 22:24,23.9
1/8/2010 22:25,23.9
1/8/2010 22:26,23.7
1/8/2010 22:27,23.8
1/8/2010 22:28,23.5
1/8/2010 22:29,23.7
1/8/2010 22:30,23.5
1/8/2010 22:31,23.7
1/8/2010 22:32,23.8
1/8/2010 22:33,23.7
1/8/2010 22:34,23.5
1/8/2010 22:35,23.5
1/8/2010 22:36,23.7
1/8/2010 22:37,23.7
1/8/2010 22:38,23.5
1/8/2010 22:39,23.7
1/8/2010 22:40,23.5
1/8/2010 22:41,23.5
1/8/2010 22:42,23.5
1/8/2010 22:43,23.5
1/8/2010 22:44,23.5
1/8/2010 22:45,23.4
1/8/2010 22:46,23.5
1/8/2010 22:47,23.4
1/8/2010 22:48,23.3
1/8/2010 22:49,23.5
1/8/2010 22:50,23.3
1/8/2010 22:51,23.5
1/8/2010 22:52,23.4
1/8/2010 22:53,23.4
1/8/2010 22:54,23.4
1/8/2010 22:55,23.4
1/8/2010 22:56,23.5
1/8/2010 22:57,23.4
1/8/2010 22:58,23.4
1/8/2010 22:59,23.3
1/8/2010 23:00,23.3
1/8/2010 23:00,23.3
1/8/2010 23:01,23.3
1/8/2010 23:02,23.4
1/8/2010 23:03,23.4
1/8/2010 23:04,23.3
1/8/2010 23:05,23.4
1/8/2010 23:06,23.4
1/8/2010 23:07,23.4
1/8/2010 23:08,23.4
1/8/2010 23:09,23.4
1/8/2010 23:10,23.4
1/8/2010 23:11,23.2
1/8/2010 23:12,23.4
1/8/2010 23:13,23.3
1/8/2010 23:14,23.1
1/8/2010 23:15,23.3
1/8/2010 23:16,23.3
1/8/2010 23:17,23.2
1/8/2010 23:18,23.2
1/8/2010 23:19,23.2
1/8/2010 23:20,23.1
1/8/2010 23:21,23.1
1/8/2010 23:22,23.2
1/8/2010 23:23,23.1
1/8/2010 23:24,23.1
1/8/2010 23:25,23.1
1/8/2010 23:26,23.2
1/8/2010 23:27,23.1
1/8/2010 23:28,23.2
1/8/2010 23:29,23.2
1/8/2010 23:30,23.2
1/8/2010 23:31,23.1
1/8/2010 23:32,23.1
1/8/2010 23:33,22.9
1/8/2010 23:34,22.8
1/8/2010 23:35,23.2
1/8/2010 23:36,22.9
1/8/2010 23:37,22.9
1/8/2010 23:38,22.8
1/8/2010 23:39,22.9
1/8/2010 23:40,22.9
1/8/2010 23:41,22.8
1/8/2010 23:42,22.9
1/8/2010 23:43,23.1
1/8/2010 23:44,22.8
1/8/2010 23:45,22.8
1/8/2010 23:46,22.9
1/8/2010 23:47,22.8
1/8/2010 23:48,22.8
1/8/2010 23:49,22.9
1/8/2010 23:50,23.1
1/8/2010 23:51,23.1
1/8/2010 23:52,22.9
1/8/2010 23:53,22.9
1/8/2010 23:54,22.8
1/8/2010 23:55,23.1
1/8/2010 23:56,22.8
1/8/2010 23:57,22.8
1/8/2010 23:58,22.8
1/8/2010 23:59,22.6
1/9/2010 0:00,22.8
1/9/2010 0:00,22.8
1/9/2010 0:01,22.6
1/9/2010 0:02,22.8
1/9/2010 0:03,22.8
1/9/2010 0:04,22.8
1/9/2010 0:05,22.7
1/9/2010 0:06,22.7
1/9/2010 0:07,22.9
1/9/2010 0:08,22.8
1/9/2010 0:09,22.6
1/9/2010 0:10,22.7
1/9/2010 0:11,22.9
1/9/2010 0:12,22.7
1/9/2010 0:13,22.7
1/9/2010 0:14,22.6
1/9/2010 0:15,22.6
1/9/2010 0:16,22.5
1/9/2010 0:17,22.5
1/9/2010 0:18,22.5
1/9/2010 0:19,22.6
1/9/2010 0:20,22.6
1/9/2010 0:21,22.6
1/9/2010 0:22,22.5
1/9/2010 0:23,22.5
1/9/2010 0:24,22.6
1/9/2010 0:25,22.7
1/9/2010 0:26,22.5
1/9/2010 0:27,22.6
1/9/2010 0:28,22.7
1/9/2010 0:29,22.6
1/9/2010 0:30,22.5
1/9/2010 0:31,22.3
1/9/2010 0:32,22.5
1/9/2010 0:33,22.6
1/9/2010 0:34,22.3
1/9/2010 0:35,22.5
1/9/2010 0:36,22.5
1/9/2010 0:37,22.3
1/9/2010 0:38,22.5
1/9/2010 0:39,22.3
1/9/2010 0:40,22.6
1/9/2010 0:41,22.5
1/9/2010 0:42,22.6
1/9/2010 0:43,22.3
1/9/2010 0:44,22.3
1/9/2010 0:45,22.3
1/9/2010 0:46,22.5
1/9/2010 0:47,22.3
1/9/2010 0:48,22.3
1/9/2010 0:49,22.3
1/9/2010 0:50,22.2
1/9/2010 0:51,22.5
1/9/2010 0:52,22.3
1/9/2010 0:53,22.3
1/9/2010 0:54,22.3
1/9/2010 0:55,22.3
1/9/2010 0:56,22.5
1/9/2010 0:57,22.3
1/9/2010 0:58,22.3
1/9/2010 0:59,22.2
1/9/2010 1:00,22.2
1/9/2010 1:00,22.2
1/9/2010 1:01,22.3
1/9/2010 1:02,22.2
1/9/2010 1:03,22.3
1/9/2010 1:04,22.3
1/9/2010 1:05,22.3
1/9/2010 1:06,22.5
1/9/2010 1:07,22.3
1/9/2010 1:08,22.5
1/9/2010 1:09,22.5
1/9/2010 1:10,22.3
1/9/2010 1:11,22.2
1/9/2010 1:12,22.1
1/9/2010 1:13,22.3
1/9/2010 1:14,22.2
1/9/2010 1:15,22.1
1/9/2010 1:16,22.1
1/9/2010 1:17,22.2
1/9/2010 1:18,22.2
1/9/2010 1:19,22.2
1/9/2010 1:20,22.3
1/9/2010 1:21,22.3
1/9/2010 1:22,22.2
1/9/2010 1:23,22.2
1/9/2010 1:24,22.2
1/9/2010 1:25,22.2
1/9/2010 1:26,22.1
1/9/2010 1:27,22.2
1/9/2010 1:28,22.2
1/9/2010 1:29,22.1
1/9/2010 1:30,22.3
1/9/2010 1:31,22.2
1/9/2010 1:32,22.2
1/9/2010 1:33,22.2
1/9/2010 1:34,22.3
